Country or Area,Year,Commodity,Flow,Trade Amount,Weight (kg),Quantity Name,Quantity
Afghanistan,2018,Silk yarn (except from waste) not retail,Import,41244.23,9900,Weight in kilograms,9900
Brazil,2018,Raw silk (not thrown),Import,3068570,41984,Weight in kilograms,41984
Brazil,2018,"Silk waste, carded or combed",Import,90589,548,Weight in kilograms,548
Brazil,2018,"Silk waste, carded or combed",Export,1087787,100728,Weight in kilograms,100728
Brazil,2018,Silk yarn (except from waste) not retail,Import,274515,,Weight in kilograms,4096
Brazil,2018,Silk yarn (except from waste) not retail,Export,32650732,452575,Weight in kilograms,452575
Brazil,2018,"Yarn spun from silk waste, not retail",Import,37309,,Weight in kilograms,255
Brazil,2018,"Silk yarn retail, silk worm gut",Import,934001,0,Weight in kilograms,809
Brazil,2018,Woven fabric of noil silk,Import,109469,,Weight in kilograms,402
Brazil,2018,Woven fabric >85% silk (except noil silk),Import,5921443,42945,Weight in kilograms,42945
Brazil,2018,Woven fabric >85% silk (except noil silk),Export,9795,136,Weight in kilograms,136
Brazil,2018,"Woven fabric of silk, nes",Import,368401,1616,Weight in kilograms,1616
Brazil,2018,"Woven fabric of silk, nes",Export,691,21,Weight in kilograms,21
Brazil,2017,Raw silk (not thrown),Import,1851425,33171,Weight in kilograms,33171
Brazil,2017,"Silk waste, carded or combed",Import,16042,109,Weight in kilograms,109
Brazil,2017,"Silk waste, carded or combed",Export,1022817,109845,Weight in kilograms,109845
Brazil,2017,Silk yarn (except from waste) not retail,Import,425339,7425,Weight in kilograms,7425
Brazil,2017,Silk yarn (except from waste) not retail,Export,31998491,532464,Weight in kilograms,532464
Brazil,2017,"Yarn spun from silk waste, not retail",Import,160,0,Weight in kilograms,1
Brazil,2017,"Silk yarn retail, silk worm gut",Import,996646,886,Weight in kilograms,886
Brazil,2017,Woven fabric of noil silk,Import,49159,412,Weight in kilograms,412
Brazil,2017,Woven fabric >85% silk (except noil silk),Import,6101717,0,Weight in kilograms,56451
Brazil,2017,Woven fabric >85% silk (except noil silk),Export,3565,25.1481377,Weight in kilograms,25.1481377
Brazil,2017,"Woven fabric of silk, nes",Import,71196,0,Weight in kilograms,629
Brazil,2017,"Woven fabric of silk, nes",Export,749,48,Weight in kilograms,48
Brazil,2016,Raw silk (not thrown),Import,1919295,36956,Weight in kilograms,36956
Brazil,2016,"Silk waste, carded or combed",Import,16473,445,Weight in kilograms,445
Brazil,2016,"Silk waste, carded or combed",Export,1069745,119199,Weight in kilograms,119199
Brazil,2016,Silk yarn (except from waste) not retail,Import,568798,9600,Weight in kilograms,9600
Brazil,2016,Silk yarn (except from waste) not retail,Export,28864592,536084,Weight in kilograms,536084
Brazil,2016,"Yarn spun from silk waste, not retail",Import,68,1,Weight in kilograms,1
Brazil,2016,"Silk yarn retail, silk worm gut",Import,457626,794,Weight in kilograms,794
Brazil,2016,Woven fabric of noil silk,Import,29189,236,Weight in kilograms,236
Brazil,2016,Woven fabric of noil silk,Export,8885,129,Weight in kilograms,129
Brazil,2016,Woven fabric >85% silk (except noil silk),Import,8467323,83905,Weight in kilograms,83905
Brazil,2016,Woven fabric >85% silk (except noil silk),Export,96304,554,Weight in kilograms,554
Brazil,2016,"Woven fabric of silk, nes",Import,64330,1078,Weight in kilograms,1078
Brazil,2016,"Woven fabric of silk, nes",Export,5682,378,Weight in kilograms,378
Brazil,2015,Silk-worm cocoons suitable for reeling,Export,345,5,Weight in kilograms,5
Brazil,2015,Raw silk (not thrown),Import,2024371,35178,Weight in kilograms,35178
Brazil,2015,"Silk waste, carded or combed",Import,26675,718,Weight in kilograms,718
Brazil,2015,"Silk waste, carded or combed",Export,731371,78875,Weight in kilograms,78875
Brazil,2015,Silk yarn (except from waste) not retail,Import,689417,11107,Weight in kilograms,11107
Brazil,2015,Silk yarn (except from waste) not retail,Export,27575751,416416,Weight in kilograms,416416
Brazil,2015,"Yarn spun from silk waste, not retail",Import,1305,28,Weight in kilograms,28
Brazil,2015,"Yarn spun from silk waste, not retail",Export,11118,89,Weight in kilograms,89
Brazil,2015,"Silk yarn retail, silk worm gut",Import,665592,677,Weight in kilograms,677
Brazil,2015,Woven fabric of noil silk,Import,80425,410,Weight in kilograms,410
Brazil,2015,Woven fabric >85% silk (except noil silk),Import,9765132,90462,Weight in kilograms,90462
